1000,5,0.05,4321,0.001001,0.000923,990,990,990,990,990,990,990,990
1000,5,0.05,1234,0.001001,0.000895,992,993,993,993,993,993,993,993
1000,5,0.05,4321,0.002002,0.001868,925,830,925,925,925,925,925,925
1000,5,0.05,1234,0.002002,0.001898,914,842,916,917,916,916,916,915
1000,5,0.05,1234,0.004004,0.003840,839,749,839,833,839,839,839,839
1000,5,0.05,4321,0.004004,0.003820,846,749,846,846,846,846,846,846
1000,5,0.05,1234,0.005005,0.004847,810,735,810,799,810,804,810,810
1000,5,0.05,4321,0.003003,0.002881,876,841,876,876,876,876,876,876
1000,5,0.05,4321,0.005005,0.004809,812,753,812,812,812,812,812,812
1000,5,0.05,1234,0.006006,0.005870,771,758,771,771,771,771,771,771
1000,5,0.05,1234,0.007007,0.006875,749,673,749,749,749,749,749,749
1000,5,0.05,4321,0.007007,0.006825,756,540,756,756,756,756,756,756
1000,5,0.05,4321,0.006006,0.005796,802,756,793,802,802,802,802,802
1000,5,0.05,1234,0.003003,0.002841,881,643,881,881,881,881,881,881
1000,5,0.05,1234,0.008008,0.007954,725,614,717,725,725,725,725,725
1000,5,0.05,4321,0.008008,0.007790,733,600,733,733,733,733,733,733
1000,5,0.05,1234,0.009009,0.008953,698,273,698,698,698,698,698,698
1000,5,0.05,4321,0.009009,0.008801,710,710,710,710,710,710,710,710
1000,5,0.05,1234,0.010010,0.009956,684,155,684,684,684,684,684,684
1000,5,0.05,4321,0.010010,0.009836,673,624,673,673,673,673,673,673
1000,5,0.05,1234,0.011011,0.011005,637,511,637,637,637,637,637,637
1000,5,0.05,4321,0.011011,0.010805,653,644,653,653,653,653,653,653
1000,5,0.05,1234,0.012012,0.011982,619,380,619,619,619,619,619,619
1000,5,0.05,4321,0.012012,0.011814,627,583,627,627,627,627,627,627
1000,5,0.05,1234,0.013013,0.012985,597,440,597,597,597,597,597,597
1000,5,0.05,4321,0.013013,0.012949,606,552,606,606,606,606,606,606
1000,5,0.05,1234,0.014014,0.013988,586,543,586,586,586,586,586,586
1000,5,0.05,4321,0.014014,0.013930,584,578,584,584,584,584,584,584
1000,5,0.05,1234,0.015015,0.014957,556,525,556,556,556,556,556,556
1000,5,0.05,4321,0.015015,0.014951,558,393,558,558,558,558,558,558
1000,5,0.05,1234,0.016016,0.015938,529,362,529,529,529,529,529,529
1000,5,0.05,4321,0.016016,0.015890,568,530,568,568,568,568,568,568
1000,5,0.05,1234,0.017017,0.016899,521,521,521,521,521,521,521,521
1000,5,0.05,4321,0.017017,0.016919,529,448,529,529,529,529,529,529
1000,5,0.05,1234,0.018018,0.017896,502,469,502,502,502,502,502,502
1000,5,0.05,4321,0.018018,0.017882,520,499,520,520,520,520,520,520
1000,5,0.05,1234,0.019019,0.018861,479,479,479,479,479,479,479,479
1000,5,0.05,4321,0.019019,0.018841,488,477,488,488,488,488,488,488
1000,5,0.05,1234,0.020020,0.019910,465,436,465,465,465,465,465,465
1000,5,0.05,4321,0.020020,0.019830,467,457,467,467,467,467,467,467
1000,5,0.05,1234,0.021021,0.020803,468,468,468,468,468,468,468,468
1000,5,0.05,4321,0.021021,0.020835,450,231,450,450,450,450,450,450
1000,5,0.05,1234,0.022022,0.021834,420,376,420,420,420,420,420,420
1000,5,0.05,4321,0.022022,0.021838,452,451,452,452,452,452,452,452
1000,5,0.05,1234,0.023023,0.022841,433,379,433,433,433,433,433,433
1000,5,0.05,4321,0.023023,0.022837,418,418,418,418,418,418,418,418
1000,5,0.05,1234,0.024024,0.023814,395,362,395,395,395,395,395,395
1000,5,0.05,4321,0.024024,0.023816,438,386,438,438,438,438,438,438
1000,5,0.05,1234,0.025025,0.024849,401,164,401,401,401,401,401,401
1000,5,0.05,4321,0.025025,0.024783,393,173,393,393,393,393,393,393
1000,5,0.05,1234,0.026026,0.025920,372,337,372,372,372,372,372,372
1000,5,0.05,4321,0.026026,0.025832,385,356,385,385,385,385,385,385
1000,5,0.15,1234,0.001001,0.000895,961,965,965,965,965,965,965,965
1000,5,0.05,1234,0.027027,0.027029,342,318,342,342,342,342,342,342
1000,5,0.15,4321,0.001001,0.000923,956,965,967,967,967,967,967,965
1000,5,0.05,4321,0.027027,0.026849,362,362,362,362,362,362,362,362
1000,5,0.15,1234,0.002002,0.001898,790,766,804,803,807,806,802,798
1000,5,0.15,4321,0.002002,0.001868,786,759,794,793,792,791,793,792
1000,5,0.05,1234,0.029029,0.028943,325,306,325,325,325,325,325,325
1000,5,0.05,4321,0.028028,0.027816,342,342,342,342,342,342,342,342
1000,5,0.15,1234,0.003003,0.002841,668,530,670,668,670,670,670,670
